,0,1,2,3,4,5,6,7,8,9,11,12,13,14,15
72,73,GRDBL,334.00,340.00,342.80,330.10,"10,061","3,358,258.3",62,334.00(-5.9) ,339.90,333.79,351.00,221.60,"1,733.46"
73,74,GUFL,555.00,585.00,585.00,551.20,"28,241","15,918,837.3",257,555.00(-18.8) ,573.80,563.68,652.00,454.00,"4,817.37"
74,75,GVL,419.00,427.00,438.00,416.60,"43,748","18,582,566.8",423,419.00(-16) ,435.00,424.76,511.00,297.00,"13,093.75"
75,76,GWFD83,"1,100.00","1,089.80","1,100.00","1,089.80",175,"192,195",3,"1,100.00(20) ","1,080.00","1,098.26","1,147.50",999.80,-
76,77,HATHY,923.00,925.90,980.00,880.00,"162,920","153,620,492.7","2,972",923.00(15.2) ,907.80,942.92,980.00,279.50,"21,598.20"
77,78,HBL,212.00,215.20,217.00,210.80,"83,847","17,834,793.1",342,212.00(-4.4) ,216.40,212.71,369.30,193.00,"45,912.03"
78,79,HBLD83,999.70,999.60,999.70,999.60,50,"49,982.5",2,999.70(-2.3) ,"1,002.00",999.65,"1,083.00",999.60,-
79,80,HBLD86,975.50,972.00,975.50,972.00,81,"78,896.8",3,975.50(-1.5) ,977.00,974.03,"1,000.00",972.00,-
80,81,HDHPC,153.80,156.00,159.10,151.00,"696,629","107,275,225.9","1,853",153.80(-2.2) ,156.00,153.99,264.00,116.00,"4,306.40"
81,82,HDL,"2,067.00","1,998.20","2,155.00","1,978.00","96,721","200,620,160.6","2,170","2,067.00(107.9) ","1,959.10","2,074.22","4,100.00","1,540.00","50,219.14"
82,83,HEI,609.00,618.00,627.00,603.10,"35,551","21,784,477.7",188,609.00(-15) ,624.00,612.77,661.00,354.00,"14,016.35"
83,84,HHL,353.00,316.60,354.00,307.80,"50,740","16,082,106.7",552,353.00(30) ,323.00,316.95,354.00,170.30,"3,865.35"
84,85,HIDCL,196.90,203.30,206.00,196.20,"364,808","72,994,780.7","1,493",196.90(-2.5) ,199.40,200.09,240.00,154.00,"44,845.55"
85,86,HIDCLP,113.80,113.00,118.00,111.00,"792,945","90,952,670.5",934,113.80(2.8) ,111.00,114.70,126.40,96.10,11.38
86,87,HLBSL,600.00,611.00,628.00,600.00,"8,124","4,983,257",91,600.00(-20) ,620.00,613.40,"1,018.00",519.10,"1,918.91"
87,88,HLI,462.00,481.40,481.40,460.00,"166,159","77,581,183.2","1,088",462.00(-10) ,472.00,466.91,574.00,340.00,"37,054.17"
88,89,HPPL,238.00,250.00,253.00,238.00,"20,265","4,935,718.5",123,238.00(-11.9) ,249.90,243.56,365.00,199.00,"2,535.69"
89,90,HURJA,253.30,261.60,266.90,253.20,"38,514","9,927,983.2",177,253.30(-13.6) ,266.90,257.78,443.40,193.50,"2,507.67"
90,91,ICFC,499.00,522.00,522.00,491.00,"51,473","25,636,581.4",292,499.00(-13) ,512.00,498.06,552.00,391.00,"5,905.52"
91,92,IGI,557.00,589.80,589.80,555.00,"93,145","52,912,744.1",465,557.00(-21.3) ,578.30,568.07,615.00,359.50,"16,873.39"
92,93,IHL,295.00,294.00,299.00,282.00,"27,521","7,969,234.6",370,295.00(-5) ,300.00,289.57,352.90,200.20,"1,770.00"
93,94,ILBS,650.00,670.00,670.00,643.90,"2,818","1,836,612",75,650.00(-30) ,680.00,651.74,"1,048.00",537.00,"3,233.20"
94,95,ILI,566.60,585.00,587.00,566.10,"107,474","61,797,385.6","2,210",566.60(-20) ,586.60,575.00,640.60,444.00,"22,664.00"
95,96,JALPA,"1,205.00","1,262.00","1,262.00","1,196.00","2,347","2,845,229.1",93,"1,205.00(-57) ","1,262.00","1,212.28","3,570.00",920.00,"2,202.74"
96,97,JBBL,305.80,324.00,324.00,305.00,"111,050","34,704,006.7",453,305.80(-13.4) ,319.20,312.51,357.00,249.10,"13,442.31"
97,98,JBLB,"1,524.00","1,560.00","1,565.00","1,520.00","6,668","10,236,284.5",266,"1,524.00(-36) ","1,560.00","1,535.14","2,990.60","1,215.00","18,014.20"
98,99,JFL,369.00,387.00,394.60,369.00,"15,973","6,005,739.1",102,369.00(-18) ,387.00,375.99,484.50,316.70,"2,547.84"
99,100,JOSHI,233.00,239.10,243.70,228.00,"37,379","8,754,191.3",198,233.00(-1.6) ,234.60,234.20,318.00,178.80,865.36
100,101,JSLBB,919.00,920.00,922.00,867.30,"1,458","1,303,706.4",45,919.00(-19) ,938.00,894.17,"1,759.00",785.00,"1,563.14"
101,102,KBL,164.10,171.00,171.00,163.40,"243,515","40,264,164.8",597,164.10(-4.9) ,169.00,165.35,211.60,148.20,"43,036.64"
102,103,KBLD89,"1,001.20","1,000.50","1,015.00","1,000.50",130,"130,922",5,"1,001.20(-18.8) ","1,020.00","1,007.09","1,020.00","1,000.00",-
103,104,KBSH,893.00,840.30,906.20,812.50,"4,625","4,012,370",125,893.00(69.1) ,823.90,867.54,969.00,479.00,"1,088.28"
104,105,KDBY,8.33,8.38,8.43,8.25,"7,600","63,385.25",48,8.33(-0.22) ,8.55,8.34,10.43,7.24,33.32
105,106,KDL,890.00,911.10,939.00,880.00,"14,142","12,714,159",246,890.00(-37) ,927.00,899.04,"1,102.00",134.40,"5,340.00"
106,107,KEF,8.84,9.07,9.07,8.84,"4,350","38,705.25",5,8.84(-0.17) ,9.01,8.90,10.35,6.91,884.00
107,108,KKHC,217.50,230.20,230.20,215.60,"27,579","6,060,962",149,217.50(-8.2) ,225.70,219.77,288.00,158.00,"1,012.93"
108,109,KLBSL,806.10,834.00,834.00,801.10,531,"431,860.6",12,806.10(-27.9) ,834.00,813.30,"1,054.10",539.00,"4,065.70"
109,110,KMCDB,664.00,656.70,676.90,640.10,"3,600","2,360,683.1",74,664.00(-1) ,665.00,655.75,"1,127.00",526.00,"2,472.22"
110,111,KPCL,356.00,372.00,372.00,350.00,"7,215","2,547,818.2",73,356.00(-9) ,365.00,353.13,432.00,272.40,"2,824.86"
111,112,KRBL,334.00,345.00,356.00,333.10,"39,665","13,496,930.5",181,334.00(-16) ,350.00,340.27,360.00,240.10,"1,770.23"
112,113,KSBBL,336.70,351.90,351.90,336.00,"79,341","27,074,899.9",303,336.70(-12.3) ,349.00,341.25,381.00,275.00,"11,047.68"
113,114,LBBL,408.00,419.00,425.00,408.00,"50,222","20,806,470.3",317,408.00(-19) ,427.00,414.29,454.00,305.00,"13,801.91"
114,115,LBLD86,973.00,973.00,973.00,973.00,25,"24,325",1,973.00(19) ,954.00,973.00,973.00,932.60,-
115,116,LEC,189.00,198.50,204.50,188.00,"279,365","54,170,498.7","1,133",189.00(-5.7) ,194.70,193.91,318.00,138.00,"2,835.00"
116,117,LEMF,9.04,9.01,9.09,9.01,"21,703","196,292.62",6,9.04(-0.06) ,9.10,9.04,10.00,7.33,"1,130.00"
117,118,LICN,"1,483.00","1,486.20","1,495.00","1,464.20","1,438","2,126,959",38,"1,483.00(-26) ","1,509.00","1,479.11","1,800.00","1,238.00","39,346.96"
118,119,LLBS,729.00,717.00,742.40,700.00,"4,450","3,208,870.4",64,729.00(1) ,728.00,721.09,"1,357.00",580.00,"3,219.72"
119,120,LSL,200.00,208.00,208.00,199.10,"170,428","34,329,980.5",451,200.00(-5) ,205.00,201.43,220.00,167.50,"43,340.48"
120,121,LUK,8.70,8.30,8.70,8.30,"86,200","739,215",9,8.70(0.28) ,8.42,8.58,9.61,7.49,567.78
121,122,LVF2,7.95,7.92,8.07,7.92,"2,950","23,583.5",13,7.95(-0.08) ,8.03,7.99,10.00,7.09,636.00
122,123,MAKAR,300.00,313.00,315.00,295.00,"19,685","5,974,855.4",302,300.00(-12.1) ,312.10,303.52,351.00,213.10,"2,280.00"
123,124,MANDU,651.00,581.00,651.20,581.00,"71,420","44,760,450.4",849,651.00(59) ,592.00,626.72,651.20,373.20,"8,877.28"
124,125,MBJC,303.00,292.00,312.00,288.80,"80,325","23,827,864.7",748,303.00(9) ,294.00,296.64,363.00,211.00,"18,180.00"
125,126,MBL,209.10,214.00,215.90,209.10,"77,170","16,363,112.6",260,209.10(-6.4) ,215.50,212.04,283.00,179.00,"24,300.26"
